Source;Target
ChessBoard.cpp;ChessBoard.h
ChessBoard.h;BoardPosition.h
ChessBoard.h;ChessTypes.h
ChessBoard.h;array
ChessBoardRenderer.cpp;ChessBoardRenderer.h
ChessBoardRenderer.cpp;ChessBoardLayout.h
ChessBoardRenderer.cpp;glad/glad.h
ChessBoardRenderer.cpp;cmath
ChessBoardRenderer.cpp;vector
ChessBoardRenderer.h;ChessBoard.h
ChessBoardRenderer.h;Shader.h
ChessBoardRenderer.h;optional
ChessBoardRenderer.h;vector
ChessGame.cpp;ChessGame.h
ChessGame.cpp;ChessBoardLayout.h
ChessGame.cpp;MoveGenerator.h
ChessGame.cpp;GLFW/glfw3.h
ChessGame.cpp;algorithm
ChessGame.h;BoardPosition.h
ChessGame.h;ChessBoard.h
ChessGame.h;Window.h
ChessGame.h;optional
ChessGame.h;vector
GlfwContext.cpp;GlfwContext.h
GlfwContext.cpp;GLFW/glfw3.h
GlfwContext.cpp;iostream
MoveGenerator.cpp;MoveGenerator.h
MoveGenerator.h;BoardPosition.h
MoveGenerator.h;ChessBoard.h
MoveGenerator.h;vector
Shader.cpp;Shader.h
Shader.cpp;glad/glad.h
Shader.cpp;fstream
Shader.cpp;iostream
Shader.cpp;sstream
Shader.cpp;string
Shader.h;filesystem
Window.cpp;Window.h
Window.cpp;glad/glad.h
Window.cpp;iostream
Window.h;GLFW/glfw3.h
main.cpp;ChessBoard.h
main.cpp;ChessBoardRenderer.h
main.cpp;ChessGame.h
main.cpp;GlfwContext.h
main.cpp;Shader.h
main.cpp;Window.h
main.cpp;glad/glad.h
main.cpp;filesystem
